Name,Rating,Courses,Fees Range,Package,City
Jawaharlal Nehru University,4.3,89 Courses,₹120 - 12 L,₹6 - 7.95 LPA,Delhi
NIT Calicut - National Institute of Technology,4.1,45 Courses,₹1.4 L - 6.3 L,₹4.5 - 10.8 LPA,Calicut
IIT Indore - Indian Institute of Technology,4.2,48 Courses,₹20 K - 8 L,₹10 - 18.5 LPA,Indore
Indian Institute of Science,4.7,45 Courses,₹18 K - 8.8 L,₹22.5 - 27.5 LPA,Bangalore
Calcutta University,4.2,168 Courses,₹1.5 K - 1.4 L,₹5.3 - 9.8 LPA,Kolkata
"Institute of Chemical Technology, Mumbai",4.5,37 Courses,₹30 K - 3.5 L,₹4 - 8 LPA,Mumbai
"GITAM (Deemed to be University), Visakhapatnam",4.3,11 Courses,₹2.3 L - 9.4 L,₹3 - 4.4 LPA,Visakhapatnam
SOA University - Siksha 'O' Anusandhan,4.2,58 Courses,₹1.3 L - 10.2 L,₹3.25 - 9.6 LPA,Bhubaneswar
VNIT Nagpur - Visvesvaraya National Institute of Technology,4.1,35 Courses,₹30 K - 6.3 L,₹5.2 - 11 LPA,Nagpur
UoH - University of Hyderabad,4.4,93 Courses,₹6.8 K - 2.2 L,₹5.25 - 7.3 LPA,Hyderabad
Netaji Subhas University of Technology,4.1,48 Courses,₹64 K - 4.5 L,₹6.2 - 16 LPA,Delhi
"Amrita Vishwa Vidyapeetham, Coimbatore",NULL,3 Courses,₹50 K - 2.4 L,₹4.5 - 4.7 LPA,Coimbatore
UNIPUNE - Savitribai Phule Pune University (SPPU),3.9,406 Courses,₹2.1 K - 4.1 L,₹2.5 - 5.3 LPA,Pune
"University College of Engineering, Osmania University",4.2,45 Courses,₹54 K - 4.8 L,₹6 - 7.1 LPA,Hyderabad
"College of Engineering, Bharati Vidyapeeth",3.8,37 Courses,₹1 L - 7 L,₹4.1 - 6.45 LPA,Pune
IIT Gandhinagar - Indian Institute of Technology,4.4,33 Courses,₹40 K - 8 L,₹8 - 14.17 LPA,Gandhinagar
IIEST Shibpur - Indian Institute of Engineering Science and Technology,4.1,74 Courses,₹90 K - 6.3 L,₹3.8 - 7.5 LPA,Howrah
MNIT Jaipur - Malaviya National Institute of Technology,4.2,57 Courses,₹30 K - 6.3 L,₹3.6 - 12 LPA,Jaipur
NIT Durgapur - National Institute of Technology,4.0,43 Courses,₹30 K - 6.3 L,₹6.9 - 9 LPA,Durgapur
"Amity University, Gurugram",4.3,193 Courses,₹78 K - 16.2 L,₹2.8 - 5.5 LPA,Gurgaon
"Saveetha Institute of Medical and Technical Sciences, Poonamallee",3.7,163 Courses,₹6 K - 1.2 Cr,₹3.59 - 12 LPA,Chennai
"Faculty of Engineering and Technology, Manav Rachna International Institute of Research and Studies",3.8,54 Courses,₹49.5 K - 11 L,₹2.76 - 4.25 LPA,Faridabad
"Bharathiar University, Coimbatore",4.0,110 Courses,₹5.2 K - 75 K,₹2.8 - 6.6 LPA,Coimbatore
IIT Ropar - Indian Institute of Technology,4.4,34 Courses,₹27.1 K - 8 L,₹10 - 37.25 LPA,Ropar
SSN College of Engineering,4.5,20 Courses,₹35 K - 2 L,₹4.6 - 7.6 LPA,Chennai
NIT Jalandhar - Dr. B. R. Ambedkar National Institute of Technology,3.9,50 Courses,₹1.2 L - 5 L,₹6.5 - 8.91 LPA,Jalandhar
Tezpur University,4.1,75 Courses,₹21.9 K - 2.2 L,₹3.6 - 4.25 LPA,Tezpur
NIT Hamirpur - National Institute of Technology,4.1,37 Courses,₹1.4 L - 6.5 L,₹3.75 - 7.54 LPA,Hamirpur
Vellore Institute of Technology - Chennai Campus,4.2,40 Courses,₹1 L - 11 L,₹3.83 - 8.1 LPA,Chennai
"Amity University, Noida",4.0,497 Courses,₹30 K - 18.9 L,₹2.4 - 8.65 LPA,Noida
NIT Silchar - National Institute of Technology,4.2,37 Courses,₹32 K - 5 L,₹5.25 - 11 LPA,Silchar
Osmania University,4.3,60 Courses,₹3.6 K - 71.6 K,₹4 - 6 LPA,Hyderabad
I.K Gujral Punjab Technical University (PTU),4.2,40 Courses,₹44 K - 3.5 L,₹3 - 4.5 LPA,Punjab - Other
IIT Jodhpur - Indian Institute of Technology,4.3,44 Courses,₹26 K - 8.3 L,₹11.5 - 15 LPA,Jodhpur
NIT Kurukshetra - National Institute of Technology,4.1,42 Courses,₹45 K - 5 L,₹1.1 - 16.65 LPA,Kurukshetra
Dhirubhai Ambani Institute of Information and Communication Technology,4.4,13 Courses,₹2.6 L - 8.2 L,₹7 - 20.25 LPA,Gandhinagar
IIT Mandi - Indian Institute of Technology,4.3,60 Courses,₹20 K - 8 L,₹7 - 21 LPA,Mandi
Kerala University,3.8,91 Courses,₹1.1 K - 60 K,₹2.5 - 3.12 LPA,Thiruvananthapuram
VELS School of Engineering,3.8,20 Courses,₹1.5 L - 8 L,₹3.15 - 3.72 LPA,Chennai
KL (Deemed to be University),4.6,8 Courses,₹1.6 L - 15.6 L,₹4.5 - 6.6 LPA,Guntur
