Name,Rating,Courses,Fees Range,Package,City
JSPM’s Bhagwant Institute of Technology,3.8,7 Courses,₹2.1 L,3.0,Maharashtra - Other
"Institute of Hotel Management Catering Technology and Applied Nutrition, Bhatinda",3.2,9 Courses,₹22.5 K - 2.5 L,3.5,Bathinda
Anandaram Dhekial Phookan College,4.6,11 Courses,₹5 K - 60 K,₹1.68 - 2.66 LPA,Nagaon
IHM Jodhpur - Institute of Hotel Management,3.7,9 Courses,₹8 K - 2.1 L,3.5,Jodhpur
St. Joseph College of Engineering and Technology,4.0,20 Courses,₹94.3 K - 3.9 L,3.0,Kottayam
LBSIM - Lal Bahadur Shastri Institute of Management and Technology,4.2,3 Courses,₹2.9 L,4.0,Bareilly
"Post Graduate College of Law, Osmania University",NULL,10 Courses,₹40.2 K - 1.3 L,₹5.4 - 5.75 LPA,Hyderabad
Global Business School,4.0,1 Course,₹1.2 L,3.5,Hubli
"JVM's Diwalimaa Degree College of Science, Dr. R. T. Doshi College of Computer Science and IT",NULL,1 Course,– / –,– / –,Mumbai
Saveetha School of Law,NULL,3 Courses,₹8.8 L,– / –,Thiruvallur
VelTech Ranga Sanku Arts College,3.5,5 Courses,– / –,₹2 - 2.1 LPA,Chennai
National Forensic Sciences University,3.8,66 Courses,₹20 K - 5 L,₹3.6 LPA,Gandhinagar
Shri. Jaykumar Rawal Institute of Technology,NULL,6 Courses,₹18 K - 1.6 L,– / –,Maharashtra - Other
Delhi Pharmaceutical Sciences and Research University,4.1,41 Courses,₹19 K - 3 L,₹4.2 - 6.52 LPA,Delhi
"IHM Gwalior - Institute of Hotel Management, Catering Technology & Applied Nutrition",3.9,9 Courses,₹18 K - 1.8 L,3.7,Gwalior
National Institute of Tourism and Hospitality Management (NITHM),3.9,4 Courses,₹2.4 L - 3.8 L,3.7,Hyderabad
Sagar Institute of Research and Technology- Excellence,4.2,11 Courses,₹90 K - 2.4 L,₹3 LPA,Bhopal
GSFC University,4.0,34 Courses,₹60 K - 4.4 L,3.8,Vadodara
Siddharth College of Law,3.4,5 Courses,– / –,2.8,Mumbai
"Maharashtra National Law University, Nagpur",3.7,26 Courses,₹15 K - 5.3 L,₹7.8 LPA,Nagpur
NIFT - TEA College of Knitwear Fashion (NIFT - TEA),3.5,10 Courses,– / –,3.0,Tamil Nadu - Other
JGEC - Jalpaiguri Government Engineering College,4.1,10 Courses,₹37.3 K - 1.1 L,₹4.6 LPA,Jalpaiguri
Nehru Institute of Technology - NIT Coimbatore,3.1,9 Courses,₹35 K - 2 L,₹1.8 - 2 LPA,Coimbatore
Thakur Global Business School (TGBS),4.1,1 Course,₹10.5 L,₹5 LPA,Mumbai
"Vikrant Institute of Technology and Management, Indore",4.3,38 Courses,₹21 K - 1.2 L,₹2.25 - 8 LPA,Indore
Albertian Institute of Management,3.8,1 Course,₹3.8 L,3.8,Kochi
Silver Oak University,4.3,121 Courses,₹15 K - 10 L,₹2 - 4 LPA,Ahmedabad
Army Institute of Fashion and Design,3.8,3 Courses,₹43.6 K - 6.1 L,4.0,Bangalore
Indian Academy Degree College,4.3,37 Courses,₹10.5 K - 4.4 L,₹4.5 LPA,Bangalore
IIHM Jaipur - International Institute of Hotel Management,4.2,7 Courses,₹40 K - 3.9 L,4.3,Jaipur
Uttar Pradesh University of Medical Sciences,4.2,24 Courses,₹81 K - 1.3 L,3.8,Uttar Pradesh - Other
Faculty of Architecture - Dr. A.P.J. Abdul Kalam Technical University,3.8,5 Courses,₹1.4 L - 4.3 L,2.8,Lucknow
Audisankara College of Engineering and Technology,4.3,20 Courses,₹72 K - 1.9 L,₹3.05 - 4.23 LPA,Nellore
TMBU - Tilka Manjhi Bhagalpur University,4.6,43 Courses,₹8.3 K - 1.1 L,4.8,Bhagalpur
G.S. College of Commerce,4.2,5 Courses,₹2 K - 1 L,₹1.23 - 1.8 LPA,Wardha
National Institute of Mass Communication and Journalism (NIMCJ),3.8,3 Courses,₹2 L - 2.4 L,3.9,Ahmedabad
Lingaraj College,NULL,8 Courses,– / –,₹1.84 - 2.41 LPA,Belgaum
Rizvi Institute of Management Studies and Research,4.0,5 Courses,₹75 K - 4.3 L,₹4.5 LPA,Mumbai
G S College of Commerce and Economics,4.0,1 Course,₹1.6 L,₹2.25 LPA,Nagpur
"Desh Bhagat University, Punjab",3.9,196 Courses,₹40.9 K - 19.5 L,₹2.7 - 3.8 LPA,Punjab - Other
"Jain College,Jayanagar",3.8,6 Courses,– / –,4.0,Bangalore
NIMS - Nizam's Institute of Medical Sciences,4.3,48 Courses,₹32.6 K - 3.1 L,5.0,Hyderabad
"GITAM School of Technology, Bengaluru",4.2,14 Courses,₹90 K - 10.2 L,₹3.96 - 4.4 LPA,Bangalore
Shri Vaishnav Institute of Management,3.9,12 Courses,₹1.2 L - 1.7 L,₹3.5 LPA,Indore
SRIT - Sri Ramakrishna Institute of Technology,3.6,17 Courses,₹35 K - 2 L,₹4 LPA,Coimbatore
Sri Vasavi Institute of Engineering and Technology,4.1,13 Courses,₹70 K - 1.4 L,3.9,Andhra Pradesh - Other
Martin Luther Christian University,3.4,54 Courses,₹3.3 K - 4.4 L,2.5,Shillong
Bengal Institute of Business Studies,4.2,7 Courses,₹3 L - 6.3 L,4.3,Kolkata
Allenhouse Institute of Technology,3.8,9 Courses,₹1 L - 2.4 L,3.7,Kanpur
Soc's Nuva College of Engineering and Technology,3.4,4 Courses,₹1.9 L,3.0,Nagpur
"Institute of Hotel Management and Catering Technology, Bharati Vidyapeeth",NULL,2 Courses,₹2.1 L - 2.4 L,₹4.1 - 4.2 LPA,Pune
PMS College of Dental Science and Research,5.0,9 Courses,₹13.2 L - 25.5 L,₹9 LPA,Thiruvananthapuram
Mailam Engineering College,4.2,17 Courses,₹35 K - 2 L,₹2.5 LPA,Tamil Nadu - Other
Lords Institute of Engineering and Technology,3.9,15 Courses,₹90 K - 3.7 L,₹3.8 - 4.25 LPA,Hyderabad
B.B.S.College of Engginering and Technology,3.2,9 Courses,₹1.3 L - 2.4 L,2.2,Allahabad
Government Polytechnic Pune,4.2,14 Courses,₹8.8 K - 31 K,4.1,Pune
Guru Tegh Bahadur Institute of Technology,3.6,8 Courses,₹4.1 L,3.6,Delhi
Amrita Vishwa Vidyapeetham - Kochi Campus,NULL,11 Courses,₹1.8 L - 3.3 L,₹5.21 LPA,Kochi
Maharashtra National Law University Mumbai,4.0,15 Courses,₹5 K - 3.2 L,3.6,Mumbai
Maharishi Arvind Institute of Engineering and Technology,2.6,10 Courses,₹55 K - 80 K,2.1,Jaipur
"Department of Social Communications Media, Sophia Polytechnic",NULL,8 Courses,₹18 K,– / –,Mumbai
Nazareth College of Arts and Science,4.3,12 Courses,– / –,₹1.5 - 1.7 LPA,Chennai
Shri Dharmasthala Manjunatheshwara College Of Business Management,4.1,4 Courses,₹1.2 L,3.5,Mangalore
T. John Institute of Technology,3.9,7 Courses,₹5.3 L - 5.7 L,₹3 LPA,Bangalore
Erode Sengunthar Engineering College,3.8,23 Courses,₹35 K - 2.5 L,₹1.2 - 2.16 LPA,Erode
SJM Institute of Technology (SJMIT),3.1,11 Courses,₹1.4 L - 3.6 L,2.0,Chitradurga
Loyola - ICAM College of Engineering and Technology,4.0,6 Courses,₹50 K - 2 L,₹4 LPA,Chennai
"School of Business Management, Global Education Centre",NULL,1 Course,₹1 L,– / –,Ranga Reddy
"Rajarshi Shahu College of Engineering, Buldana",NULL,7 Courses,₹95.9 K - 1 L,– / –,Maharashtra - Other
Techno India University,3.8,172 Courses,₹2.7 L - 10 L,3.6,Kolkata
Maharshi Karve Stree Shikshan Samstha's School of Fashion Technology,NULL,9 Courses,₹5 L,₹3.8 LPA,Pune
"University College of Commerce and Business Management, Osmania University",4.1,5 Courses,₹41.6 K - 80 K,₹5.4 - 6 LPA,Hyderabad
"United College of Engineering and Research, United Group of Institutions, Greater Noida",3.6,11 Courses,₹2 L - 5.2 L,3.5,Greater Noida
"United Institute of Technology, United Group of Institutions, Allahabad",4.1,8 Courses,₹1.9 L - 5 L,3.8,Allahabad
BMS School of Architecture,3.3,3 Courses,₹1.4 L - 4.2 L,₹3.5 - 4 LPA,Bangalore
"UEI Global, Lucknow",4.6,19 Courses,₹1.4 L - 2.1 L,4.4,Lucknow
"NIMS Institute of Management and Commerce, NIMS University",4.0,89 Courses,₹30 K - 5 L,₹1.8 - 5.26 LPA,Jaipur
MKBU - Maharaja Krishnakumarsinhji Bhavnagar University,3.8,7 Courses,₹84 K,3.3,Bhavnagar
Meghnad Saha Institute of Technology,3.6,21 Courses,₹1.9 L - 5.5 L,₹4.25 - 4.91 LPA,Kolkata
"S B Jain Institute of Technology, Management and Research",4.0,9 Courses,₹1.3 L - 4 L,3.8,Nagpur
Kuppam Engineering College,3.6,17 Courses,₹54 K - 1.8 L,₹3 - 3.4 LPA,Chittoor
V.M. Salgaocar College of Law,4.0,5 Courses,₹10.5 K,3.0,Panaji
Rama PG College,NULL,3 Courses,– / –,– / –,Lucknow
Mahatma Gandhi Central University,4.3,34 Courses,₹5 K - 1.2 L,4.1,Bihar - Other
"University College of Law, Osmania University",3.2,16 Courses,₹40 K - 80 K,₹3.75 - 5.75 LPA,Hyderabad
CSJM - Chhatrapati Shahu Ji Maharaj University,3.9,184 Courses,₹7 K - 4.4 L,₹2 - 4.91 LPA,Kanpur
"IBMR Business School, Hubli",3.5,2 Courses,₹4 L,3.7,Hubli
St. Anne's Degree College for Women,4.1,17 Courses,₹80 K - 1.6 L,3.7,Bangalore
"ISB&M - International School of Business and Media, Bangalore",4.6,5 Courses,₹9 L,₹8.1 LPA,Bangalore
"Cluster Innovation Centre, University of Delhi",4.1,3 Courses,₹30 K - 75 K,3.2,Delhi
"Swami Vivekananda University, Barrackpore",4.6,56 Courses,₹1.1 L - 3.3 L,4.6,Kolkata
CMR Center for Business Studies,4.3,1 Course,– / –,4.3,Bangalore
Dr. Akhilesh Das Gupta Institute of Technology and Management (Formerly Northern India Engineering College),3.7,22 Courses,₹2.1 L - 3.9 L,3.2,Delhi
Lady Doak College,4.3,12 Courses,₹26.4 K - 1.4 L,₹1.65 - 2.31 LPA,Madurai
Lyallpur  Khalsa College of Engineering,4.2,12 Courses,₹1.7 L - 3.4 L,3.9,Jalandhar
Institute of Applied Medicines and Research,3.7,3 Courses,– / –,3.7,Ghaziabad
"Government Degree College, Kullu",NULL,3 Courses,– / –,– / –,Kullu
Silapathar College,4.0,1 Course,– / –,3.0,Assam - Other
Indian Institute of Knowledge Management,NULL,5 Courses,₹23.4 K - 60 K,– / –,Chennai
DPM's Shree Mallikarjun College of Arts and Commerce,4.2,13 Courses,₹4.6 K,₹9.34 LPA,Canacona
Apollo Institute of Hospital Management and Allied Sciences - AIHMAS,4.1,8 Courses,₹8 K - 3.2 L,4.1,Chennai
"Dev Bhoomi School of Engineering, Dev Bhoomi Uttarakhand University",3.5,37 Courses,₹1.8 L - 9.9 L,3.5,Dehradun
Sasi Institute of Technology and Engineering,3.7,21 Courses,₹72 K - 1.8 L,₹3.5 LPA,West Godavari
Dadi Institute of Engineering and Technology,3.9,15 Courses,₹71.6 K - 1.4 L,₹3.53 - 3.6 LPA,Visakhapatnam
MBS School of Planning and Architecture,3.4,1 Course,– / –,2.7,Delhi
National School of Journalism and Public Discourse (NSoJ),4.7,5 Courses,₹4.4 L - 6.8 L,₹3.2 LPA,Bangalore
Tulsiramji Gaikwad-Patil College of Engineering and Technology,4.3,26 Courses,₹1.9 L - 5.4 L,₹1.57 LPA,Nagpur
Michael Job College of Arts and Science for Women,NULL,18 Courses,– / –,– / –,Coimbatore
"ITM Institute of Design and Media, Nerul",NULL,4 Courses,₹15 L,– / –,Navi Mumbai
Cauvery Degree College,4.8,4 Courses,– / –,4.0,Karnataka - Other
IIHM Ahmedabad - International Institute of Hotel Management,4.4,1 Course,₹5 L,4.5,Ahmedabad
K.L.E. Society's Institute of Management Studies and Research (KLESIMSR ),2.2,1 Course,₹1.2 L,2.0,Hubli
Megha Institute of Engineering and Technology For Women,3.8,17 Courses,₹44.7 K - 2.5 L,3.7,Telangana-Other
Seshadripuram Institute of Management Studies,4.1,1 Course,₹1.2 L,3.1,Bangalore
Dr. Sudhir Chandra Sur Institute of Technology and Sports Complex,4.3,23 Courses,₹74.9 K - 4.4 L,₹3.7 - 3.75 LPA,Kolkata
"D Y Patil University, Pune",4.1,46 Courses,₹2.5 L - 8 L,3.4,Pune
BNG Hotel Management College,4.4,14 Courses,₹12 K - 1.8 L,5.0,Kolkata
"Symbiosis Institute of Health Sciences, Symbiosis International, Pune",3.0,11 Courses,₹10 K - 10.3 L,₹7.65 - 20.8 LPA,Pune
AIMS IBS,4.8,4 Courses,₹6.8 L,4.9,Bangalore
VSB Engineering College,4.5,25 Courses,₹35 K - 2 L,₹3 - 4.5 LPA,Karur
Bharati Vidyapeeth College of Hotel and Tourism Management Studies,4.8,2 Courses,₹2.3 L - 4.3 L,₹2.6 LPA,Navi Mumbai
Tolani Maritime Institute- TMI,4.4,11 Courses,₹3 L - 7.7 L,4.5,Pune
Gopalan College of Engineering and Management,3.5,9 Courses,₹1.5 L - 3.6 L,3.0,Bangalore
Jeppiaar Institute of Technology,4.3,8 Courses,₹35 K - 2 L,₹3 - 3.5 LPA,Chennai
St. Andrews Institute of Technology and Management,3.9,16 Courses,₹1.5 L - 3.8 L,3.4,Gurgaon
"SDSM's SD Arts, VS Apte Commerce, MH Mehta Science College",3.5,1 Course,– / –,1.7,Maharashtra - Other
Happy Valley Business School,4.6,1 Course,– / –,₹3.5 LPA,Coimbatore
SAL Education,3.7,34 Courses,₹1.4 L - 5 L,3.3,Ahmedabad
IMS Design and Innovation Academy,4.0,10 Courses,₹12 L - 16 L,4.0,Noida
Lloyd Institute of Engineering and Technology,3.5,42 Courses,₹2 L - 5.6 L,3.1,Greater Noida
Regenesys Business School,4.7,27 Courses,₹2.1 L - 23.8 L,4.5,Mumbai
Vidya Prasarak Mandals K G Joshi College of Arts and N G Bedekar College of  Commerce,4.5,12 Courses,– / –,₹1.92 LPA,Thane
Narsimha Reddy Engineering College,4.0,15 Courses,₹70 K - 2.8 L,3.8,Hyderabad
Agnihotri College of Engineering,3.8,7 Courses,₹1.1 L - 2.7 L,4.0,Wardha
Asian College of Journalism - ACJ,4.5,2 Courses,₹4.6 L - 7.1 L,4.2,Chennai
"Bapatla Engineering College, Bapatla Education Society",3.7,37 Courses,₹56.4 K - 3 L,₹4 LPA,Guntur
"SoET, Pandit Deendayal Energy University (PDEU)",4.2,4 Courses,₹2.7 L - 9.6 L,₹3.6 - 6.01 LPA,Gandhinagar
Sengunthar Engineering College,3.9,16 Courses,₹35 K - 2 L,₹1.32 - 2.1 LPA,Namakkal
Padmashree Institute of Management and Sciences,4.2,39 Courses,₹1.4 L - 2.4 L,3.8,Bangalore
KKR and KSR Institute of Technology and Sciences (KITS Guntur),4.1,19 Courses,₹58.6 K - 1.7 L,4.1,Guntur
Khalsa College of Engineering and Technology,3.7,5 Courses,₹2.4 L,3.5,Amritsar
Wilson College,4.0,37 Courses,₹53.5 K - 69.7 K,₹3.36 LPA,Mumbai
Indira Gandhi Institute of Physical Education and Sports Sciences,3.6,3 Courses,₹432 - 21.4 K,3.0,Delhi
"Symbiosis Centre for Media and Communication, Symbiosis International, Pune",3.8,1 Course,₹9.2 L,₹7.65 LPA,Pune
"UEI Global, Chandigarh",4.5,21 Courses,₹1.5 L - 2.1 L,5.0,Chandigarh
"UEI Global, Jaipur",4.9,21 Courses,₹1.3 L - 2.1 L,5.0,Jaipur
"Dr. Ambedkar College of Law, People’s Education Society, Wadala",4.6,3 Courses,– / –,4.3,Mumbai
Gharda Institute of Technology,3.9,7 Courses,₹3.2 L - 4.3 L,3.1,Ratnagiri
ALC - Asian Law College Noida,4.4,4 Courses,₹3.5 L - 8.5 L,₹4 LPA,Noida
SDM College of Medical Sciences and Hospital,3.9,39 Courses,₹7 K - 21.4 L,4.0,Dharwad
Government Medical College Bhavnagar,4.0,31 Courses,₹40 K - 1.3 L,3.7,Bhavnagar
South Calcutta Law College,3.7,2 Courses,₹87.2 K,2.1,Kolkata
Shri Dharmasthala Manjunatheshwara Law College and Centre for Postgraduate Studies and Research in Law,4.7,6 Courses,– / –,₹2.1 - 3.8 LPA,Mangalore
"Dr BR Ambedkar Medical College, Bangalore",3.8,21 Courses,₹3.1 L - 21.4 L,4.0,Bangalore
Dhanekula Inst Of Engineering Technology,3.9,14 Courses,₹70 K - 2.4 L,₹30.37 LPA,Vijayawada
A.J. Institute of Management,4.6,1 Course,₹1.2 L,3.0,Mangalore
Lal Bahadur Shastri PG College,3.7,17 Courses,₹15.8 K - 68.5 K,3.2,Jaipur
SMJV's C K Shah Vijapurwala Institute of Management,2.1,3 Courses,₹1.6 L - 2.2 L,₹3 LPA,Vadodara
Vedavyasa Institute of Technology,3.1,16 Courses,₹2 L - 3.7 L,2.8,Kerala - Other
Thakur College of Science and Commerce,4.0,27 Courses,₹71.9 K - 1.8 L,₹1.9 - 2.22 LPA,Mumbai
Lord Krishna College Of Technology,1.6,10 Courses,₹91.2 K - 1.9 L,1.5,Indore
"Vindhya Institute of Technology & Science,(VITS Satna)",3.5,10 Courses,₹72 K - 1.9 L,3.0,Satna
"School of Open Learning, University of Delhi",3.5,13 Courses,₹1.5 K - 20 K,₹5 - 15.5 LPA,Delhi
RIT - Rajeev Institute of Technology,4.2,12 Courses,₹90 K - 3.6 L,3.6,Hassan
HL College of Commerce,4.2,3 Courses,– / –,3.4,Ahmedabad
Vishwa Vishwani Institute of Systems and Management,4.3,15 Courses,₹1.4 L - 8.8 L,4.2,Hyderabad
Dr. Ambedkar Institute of Management Studies and Research,4.2,4 Courses,₹38.8 K - 1.7 L,₹3.02 LPA,Nagpur
College of B.Sc.,NULL,1 Course,– / –,– / –,Navi Mumbai
Maharashtra College of Engineering Nilanga,3.8,3 Courses,₹1.7 L,3.0,Maharashtra - Other
Institute of Information Technology & Management,3.9,8 Courses,₹2.5 L - 3 L,₹3.06 - 3.5 LPA,Delhi
"Northern India Institute of Fashion Technology, Mohali",3.8,5 Courses,₹46 K - 93 K,3.6,Mohali
"Amrita College of Nursing, Amrita Vishwa Vidyapeetham - Kochi Campus",4.4,5 Courses,₹1.5 L - 2.6 L,₹4.5 - 4.7 LPA,Kochi
MMM's Institute of Management Education Research and Training,3.8,3 Courses,₹2.1 L - 2.3 L,₹3.5 LPA,Pune
"TKM School of Architecture,Kollam",3.6,2 Courses,₹4.5 L - 5.6 L,3.0,Kollam
Madhya Pradesh Bhoj Open University,3.7,43 Courses,₹2.4 K - 90 K,3.1,Bhopal
S.A. Manvi Law College,NULL,1 Course,– / –,– / –,Gadag
Imperial College of Engineering and Research,4.2,10 Courses,₹1.8 L - 3.7 L,3.9,Pune
Aditya Institute of Technology and Management,4.0,25 Courses,₹72 K - 2.9 L,₹3.6 - 4 LPA,Andhra Pradesh - Other
Mahatma Jyotiba Phule Rohilkhand University,3.3,46 Courses,₹5 K - 3 L,2.6,Bareilly
Ravindra College of Engineering For Women,4.2,4 Courses,₹1.4 L,4.4,Kurnool
DY Patil Akurdi MBA,4.6,1 Course,₹2.6 L,₹2.4 LPA,Pune
"SRM Institute of Science and Technology, Chennai - Ghaziabad Campus",3.7,30 Courses,₹1.5 L - 12 L,₹2.75 - 5.5 LPA,Ghaziabad
Aalim Muhammed Salegh College of Engineering,3.8,15 Courses,₹35 K - 2.1 L,₹2.88 LPA,Chennai
Dwaraka Doss Goverdhan Doss Vaishnav College,4.0,9 Courses,– / –,₹3.58 - 6.4 LPA,Chennai
"Delhi Technical Campus, Greater Noida",4.0,11 Courses,₹1.5 L - 6.1 L,3.7,Greater Noida
"MGM School of Biomedical Sciences, Navi Mumbai",NULL,17 Courses,₹1.6 L - 4.9 L,– / –,Navi Mumbai
Nopany Institute of Management Studies,4.6,3 Courses,₹2.6 L - 2.9 L,₹1.5 - 2 LPA,Kolkata
Dronacharya Group of Institutions,3.9,18 Courses,₹1.6 L - 3.8 L,₹4.18 LPA,Greater Noida
MKSSS' School of Fashion Technology,4.0,13 Courses,₹2.3 L - 6.8 L,3.2,Pune
K.S. School of Engineering and Management,3.9,8 Courses,₹3.4 L - 6.5 L,₹3.5 LPA,Bangalore
"Government College of Arts, Science and Commerce",3.6,3 Courses,– / –,₹1 LPA,Goa - Other
Bonam Venkata Chalamayya Engineering College,4.0,21 Courses,₹56 K - 2.2 L,3.8,East Godavari
Jai Narain college of Technology (JNCT),3.9,11 Courses,₹1.2 L - 2.6 L,3.8,Bhopal
Prashanti institute of Technology and Science,NULL,7 Courses,₹1.2 L - 1.9 L,– / –,Ujjain
IIHM Bangalore - International Institute of Hotel Management,4.5,1 Course,₹5.4 L,4.7,Bangalore
Rizvi College of Hotel Management,4.5,2 Courses,₹2.3 L - 3.6 L,4.5,Mumbai
Indira Institute of Business Management,3.7,1 Course,₹2.5 L,4.0,Mumbai
"A.V. College of Arts, Science and Commerce",4.2,15 Courses,₹43.6 K - 1.1 L,3.8,Hyderabad
Ashoka Institute of Engineering and Technology,3.5,11 Courses,₹1 L - 2.6 L,3.2,Hyderabad
"National Institute of Fashion Technology, Bangalore",3.7,23 Courses,₹60 K - 12.3 L,3.5,Bangalore
Dr. Pinnamaneni Siddhartha Institute of Medical Sciences and Research Foundation,4.2,26 Courses,₹1.8 L - 45 L,4.5,Vijayawada
"Social Communications Media Department, Sophia Smt. Manorama Devi Somani College",NULL,1 Course,– / –,– / –,Mumbai
SRKU - Sarvepalli Radhakrishnan University,4.0,79 Courses,₹10 K - 48.7 L,4.3,Bhopal
JCT College of Engineering,4.1,28 Courses,₹50 K - 2 L,₹2.8 LPA,Coimbatore
College of Engineering and Rural Technology,3.2,12 Courses,₹1 L - 2.5 L,2.6,Meerut
Bombay College of Pharmacy,3.6,7 Courses,₹89.3 K - 4.2 L,₹4.25 - 5.25 LPA,Mumbai
Smt. Kamlaben Gambhirchand Shah Law School,NULL,2 Courses,₹60 K - 1 L,– / –,Mumbai
"Pondicherry Institute of Medical Sciences,",NULL,29 Courses,₹19.2 L - 72 L,₹5.16 - 10.8 LPA,Pondicherry
Keshav Memorial Institute of Technology,4.2,7 Courses,₹4.1 L,₹5 LPA,Hyderabad
Sharda School of Allied Health Sciences,4.3,17 Courses,₹2.9 L - 7.5 L,3.8,Greater Noida
Annai Violet College of Arts and Science,4.1,20 Courses,– / –,₹1.68 - 2 LPA,Chennai
Tapmi School of Business,4.4,1 Course,₹9.3 L,₹5.51 LPA,Jaipur
Kashi Institute of Technology,3.9,25 Courses,₹1 L - 5.4 L,₹2.4 - 3.5 LPA,Varanasi
Sethu Institute of Technology,3.7,18 Courses,₹50 K - 2 L,₹1.62 LPA,Virudhunagar
Indian Institute of Hotel Management and Culinary Arts,4.3,3 Courses,₹80 K - 3.8 L,₹3.45 - 5.25 LPA,Hyderabad
"Maulana Azad Institute of Dental Sciences, MAMC",4.7,10 Courses,₹16.5 K - 46.8 K,₹14.16 - 17.15 LPA,Delhi
"Government Degree College, Udhampur",3.3,1 Course,– / –,2.3,Udhampur
"Heritage Institute of Hotel and Tourism, Agra",4.2,7 Courses,₹25 K - 3.9 L,4.2,Agra
Abbas Khan College For Women,NULL,1 Course,– / –,– / –,Bangalore
Sree Saraswathi Thyagaraja College,4.4,30 Courses,₹61.5 K - 2.4 L,₹2.82 - 3.07 LPA,Coimbatore
NRI Group of Institutions,3.4,40 Courses,₹57 K - 4.2 L,3.0,Bhopal
Kempegowda Institute of Medical Sciences,3.4,22 Courses,₹3.1 L - 21.4 L,4.3,Bangalore
Meerut Institute of Technology,4.2,8 Courses,₹1 L - 2.4 L,₹3 LPA,Meerut
"Chitkara School of Mass Communication, Chitkara University, Chandigarh",4.5,2 Courses,₹2.5 L - 3.7 L,₹2.1 - 5.25 LPA,Chandigarh
Mohandas College of Engineering and Technology,3.9,13 Courses,₹1.1 L - 4.1 L,₹2.5 - 2.65 LPA,Thiruvananthapuram
AIIMS Nagpur - All India Institute of Medical Sciences,4.7,8 Courses,₹2.4 K - 6.1 K,4.5,Nagpur
G. Madegowda Institute of Technology,3.4,9 Courses,₹1.4 L - 3.6 L,2.5,Mandya
Ambalika Institute of Management and Technology,3.8,16 Courses,₹90.5 K - 3.6 L,3.5,Lucknow
RIET - Rajadhani Institute of Engineering and Technology,3.8,24 Courses,₹67.5 K - 3.3 L,₹2.4 - 3.01 LPA,Trivandrum
Vindhya Institute of Technology and Science (VITS Indore),3.4,13 Courses,₹72 K - 2.7 L,2.5,Indore
Bengal Law College,4.0,3 Courses,₹75 K - 1.8 L,3.0,West Bengal - Other
RajaRajeswari Medical College and Hospital,4.2,39 Courses,₹15 L - 1.8 Cr,₹6.5 - 9.36 LPA,Bangalore
"University Institute of Engineering and Technology, Maharshi Dayanand University",3.7,17 Courses,₹1.2 L - 2.2 L,₹4 - 7.82 LPA,Rohtak
MKSS’s Smt. Hiraben Nanavati Institute of Management and Research for Women,4.2,1 Course,₹3.8 L,3.8,Pune
"IHM Kurukshetra - Institute of Hotel Management, Catering Technology & Applied Nutrition",4.2,6 Courses,₹2.5 L,4.1,Kurukshetra
Pt. Deen Dayal Upadhyay Management College,4.3,4 Courses,₹1.8 L - 1.9 L,4.2,Meerut
Aryans Group of Colleges,3.2,13 Courses,₹93 K - 2.7 L,2.8,Rajpura
"City Engineering College (CEC, Banglore)",3.3,8 Courses,₹1.4 L - 3.6 L,3.0,Bangalore
"ICRI - Institute of Clinical Research India, Mumbai",3.8,18 Courses,₹95 K - 4 L,4.5,Mumbai
"Sanskar College of Engineering and Technology, Sanskar Educational Group",3.8,10 Courses,₹1 L - 3.8 L,₹3 LPA,Ghaziabad
Munnar Catering College,5.0,8 Courses,₹45 K - 4.3 L,5.0,Munnar
"Geeta Institute of Law, Geeta University",4.4,4 Courses,₹1.5 L - 6.7 L,4.2,Panipat
Sister Nivedita University,4.1,90 Courses,₹10 K - 8.1 L,₹6 LPA,Kolkata
K.S.R.M. College of Engineering,3.8,16 Courses,₹74 K - 2.5 L,3.2,Kadapa
Kohinoor College of Hotel and Tourism Management Studies,4.3,4 Courses,– / –,4.0,Mumbai
"St. Wilfred's College of Law, Panvel",4.0,2 Courses,₹1.4 L - 2.3 L,3.3,Mumbai
"Deccan Education Society's Kirti M. Doongursee College of Arts, Science and Commerce",3.9,10 Courses,₹10.7 K - 90.3 K,3.2,Mumbai
International Institute of Business Studies,4.4,25 Courses,₹5.5 L - 8 L,4.4,Bangalore
Poddar Management and Technical Campus,4.9,2 Courses,₹1.3 L - 1.8 L,₹1.96 LPA,Jaipur
Naran Lala School of Industrial Management and Computer Science,NULL,1 Course,₹1.6 L,– / –,Navsari
Sinhgad Law College,3.9,5 Courses,₹10.8 K - 1.4 L,3.0,Pune
Shri Neminath Jain Bhhramcharyashram,4.2,43 Courses,₹1.4 L - 4.5 L,₹3.16 LPA,Nashik
"Dr. D. Y. Patil College of Physiotherapy, Dr. D. Y. Patil Vidyapeeth",2.6,10 Courses,₹5.8 L - 9.2 L,₹4.5 LPA,Pune
Kunwar Satyavira College of Engineering and Management,2.8,8 Courses,₹1.3 L - 2.4 L,2.6,Uttar Pradesh - Other
Thiruthangal Nadar College,3.9,18 Courses,– / –,₹1.2 LPA,Chennai
Alpha College of Engineering,4.3,7 Courses,₹90 K - 2 L,4.4,Chennai
M.M. Institute of Hotel Management and Catering Technology,NULL,2 Courses,– / –,– / –,Ambala
Dr. Lankapalli Bullayya College,4.1,22 Courses,₹30 K - 1.4 L,3.7,Visakhapatnam
RMD Sinhgad School of Management Studies,4.5,1 Course,₹1.7 L,4.2,Pune
"National Institute of Fashion Technology, Bhopal",3.0,11 Courses,₹80 K - 12.3 L,2.8,Bhopal
